Corte de información: Febrero 2020. Precios por litro (Moneda nacional),,,,,,,,,,,,,,,,,,
Entidad federativa,Gasolina mínimo 87 octanos,Año reporte,Mes,,Entidad federativa,Gasolina mínimo 91 octanos,Año reporte,Mes,,Entidad federativa,Diésel,Año reporte,Mes,,FechaCalendario,Gasolina mínimo 87 octanos,Gasolina mínimo 91 octanos,Diésel
Aguascalientes,16.19,2017,1,,Aguascalientes,17.96,2017,1,,Aguascalientes,17.28,2017,1,,01/01/2017,15.99,17.79,17.05
Aguascalientes,16.21,2017,2,,Aguascalientes,17.98,2017,2,,Aguascalientes,17.31,2017,2,,02/01/2017,16.02,17.82,17.08
Aguascalientes,16.1,2017,3,,Aguascalientes,17.86,2017,3,,Aguascalientes,17.16,2017,3,,03/01/2017,16.02,17.83,17.08
Aguascalientes,16.12,2017,4,,Aguascalientes,17.85,2017,4,,Aguascalientes,17.09,2017,4,,04/01/2017,16.02,17.83,17.08
Aguascalientes,16.03,2017,5,,Aguascalientes,17.78,2017,5,,Aguascalientes,16.96,2017,5,,05/01/2017,16.02,17.83,17.08
Aguascalientes,15.93,2017,6,,Aguascalientes,17.64,2017,6,,Aguascalientes,16.78,2017,6,,06/01/2017,16.02,17.83,17.08
Aguascalientes,15.86,2017,7,,Aguascalientes,17.54,2017,7,,Aguascalientes,16.66,2017,7,,07/01/2017,16.02,17.83,17.08
Aguascalientes,15.92,2017,8,,Aguascalientes,17.62,2017,8,,Aguascalientes,16.71,2017,8,,08/01/2017,16.02,17.83,17.08
Aguascalientes,16.15,2017,9,,Aguascalientes,17.87,2017,9,,Aguascalientes,16.95,2017,9,,09/01/2017,16.02,17.83,17.09
Aguascalientes,16.28,2017,10,,Aguascalientes,17.96,2017,10,,Aguascalientes,17.14,2017,10,,10/01/2017,16.02,17.83,17.08
Aguascalientes,16.36,2017,11,,Aguascalientes,18.06,2017,11,,Aguascalientes,17.26,2017,11,,11/01/2017,16.01,17.82,17.08
Aguascalientes,16.48,2017,12,,Aguascalientes,18.17,2017,12,,Aguascalientes,17.4,2017,12,,12/01/2017,16.01,17.83,17.08
Aguascalientes,17.16,2018,1,,Aguascalientes,18.84,2018,1,,Aguascalientes,18.04,2018,1,,13/01/2017,16.01,17.82,17.08
Aguascalientes,18,2018,2,,Aguascalientes,19.54,2018,2,,Aguascalientes,18.89,2018,2,,14/01/2017,16,17.82,17.07
Aguascalientes,18.26,2018,3,,Aguascalientes,19.73,2018,3,,Aguascalientes,19.19,2018,3,,15/01/2017,16,17.82,17.07
Aguascalientes,18.34,2018,4,,Aguascalientes,19.8,2018,4,,Aguascalientes,19.27,2018,4,,16/01/2017,16,17.82,17.07
Aguascalientes,18.46,2018,5,,Aguascalientes,19.89,2018,5,,Aguascalientes,19.38,2018,5,,17/01/2017,16,17.81,17.07
Aguascalientes,18.65,2018,6,,Aguascalientes,20.05,2018,6,,Aguascalientes,19.57,2018,6,,18/01/2017,16,17.81,17.07
Aguascalientes,19.02,2018,7,,Aguascalientes,20.43,2018,7,,Aguascalientes,19.93,2018,7,,19/01/2017,16,17.81,17.07
Aguascalientes,19.55,2018,8,,Aguascalientes,21.01,2018,8,,Aguascalientes,20.46,2018,8,,20/01/2017,16,17.81,17.07
Aguascalientes,19.8,2018,9,,Aguascalientes,21.25,2018,9,,Aguascalientes,20.73,2018,9,,21/01/2017,16,17.81,17.07
Aguascalientes,20,2018,10,,Aguascalientes,21.48,2018,10,,Aguascalientes,21.02,2018,10,,22/01/2017,16,17.81,17.07
Aguascalientes,20,2018,11,,Aguascalientes,21.49,2018,11,,Aguascalientes,21.2,2018,11,,23/01/2017,16,17.81,17.07
Aguascalientes,19.81,2018,12,,Aguascalientes,21.29,2018,12,,Aguascalientes,21.13,2018,12,,24/01/2017,16,17.81,17.07
Aguascalientes,19.64,2019,1,,Aguascalientes,21.01,2019,1,,Aguascalientes,21.17,2019,1,,25/01/2017,16,17.81,17.07
Aguascalientes,20.08,2019,2,,Aguascalientes,21.12,2019,2,,Aguascalientes,21.93,2019,2,,26/01/2017,15.99,17.8,17.07
Aguascalientes,20.33,2019,3,,Aguascalientes,21.35,2019,3,,Aguascalientes,22,2019,3,,27/01/2017,15.99,17.81,17.07
Aguascalientes,19.85,2019,4,,Aguascalientes,21.06,2019,4,,Aguascalientes,21.68,2019,4,,28/01/2017,15.99,17.81,17.07
Aguascalientes,19.75,2019,5,,Aguascalientes,20.99,2019,5,,Aguascalientes,21.58,2019,5,,29/01/2017,15.99,17.81,17.07
Aguascalientes,19.65,2019,6,,Aguascalientes,21,2019,6,,Aguascalientes,21.43,2019,6,,30/01/2017,15.99,17.81,17.07
Aguascalientes,19.71,2019,7,,Aguascalientes,21.08,2019,7,,Aguascalientes,21.47,2019,7,,31/01/2017,15.99,17.82,17.08
Aguascalientes,19.67,2019,8,,Aguascalientes,21.1,2019,8,,Aguascalientes,21.45,2019,8,,01/02/2017,15.91,17.77,17.08
Aguascalientes,19.74,2019,9,,Aguascalientes,21.14,2019,9,,Aguascalientes,21.49,2019,9,,02/02/2017,15.89,17.74,17.08
Aguascalientes,19.79,2019,10,,Aguascalientes,21.2,2019,10,,Aguascalientes,21.46,2019,10,,03/02/2017,15.88,17.74,17.08
Aguascalientes,19.85,2019,11,,Aguascalientes,21.2,2019,11,,Aguascalientes,21.47,2019,11,,04/02/2017,15.87,17.73,17.08
Aguascalientes,19.92,2019,12,,Aguascalientes,21.25,2019,12,,Aguascalientes,21.6,2019,12,,05/02/2017,15.86,17.73,17.08
Aguascalientes,19.97,2020,1,,Aguascalientes,21.28,2020,1,,Aguascalientes,21.65,2020,1,,06/02/2017,15.86,17.73,17.07
Aguascalientes,19.94,2020,2,,Aguascalientes,21.16,2020,2,,Aguascalientes,21.52,2020,2,,07/02/2017,15.86,17.72,17.07
Baja California,16.08,2017,1,,Baja California,17.86,2017,1,,Baja California,17.2,2017,1,,08/02/2017,15.86,17.72,17.07
Baja California,16.04,2017,2,,Baja California,17.81,2017,2,,Baja California,17.2,2017,2,,09/02/2017,15.85,17.72,17.07
Baja California,15.85,2017,3,,Baja California,17.61,2017,3,,Baja California,17.1,2017,3,,10/02/2017,15.84,17.72,17.07
Baja California,15.87,2017,4,,Baja California,17.6,2017,4,,Baja California,17.04,2017,4,,11/02/2017,15.84,17.71,17.07
Baja California,15.83,2017,5,,Baja California,17.57,2017,5,,Baja California,16.96,2017,5,,12/02/2017,15.8,17.68,17.08
Baja California,15.81,2017,6,,Baja California,17.53,2017,6,,Baja California,16.88,2017,6,,13/02/2017,15.75,17.66,17.09
Baja California,15.7,2017,7,,Baja California,17.41,2017,7,,Baja California,16.76,2017,7,,14/02/2017,15.71,17.64,17.09
Baja California,15.8,2017,8,,Baja California,17.51,2017,8,,Baja California,16.78,2017,8,,15/02/2017,15.69,17.62,17.09
Baja California,15.98,2017,9,,Baja California,17.7,2017,9,,Baja California,16.97,2017,9,,16/02/2017,15.69,17.62,17.09
Baja California,16.12,2017,10,,Baja California,17.82,2017,10,,Baja California,17.14,2017,10,,17/02/2017,15.67,17.62,17.1
Baja California,16.27,2017,11,,Baja California,17.96,2017,11,,Baja California,17.28,2017,11,,18/02/2017,15.93,17.76,17.05
Baja California,16.38,2017,12,,Baja California,18.09,2017,12,,Baja California,17.45,2017,12,,19/02/2017,15.93,17.76,17.06
Baja California,16.8,2018,1,,Baja California,18.45,2018,1,,Baja California,17.9,2018,1,,20/02/2017,15.93,17.76,17.06
Baja California,17.31,2018,2,,Baja California,18.95,2018,2,,Baja California,18.41,2018,2,,21/02/2017,15.92,17.75,17.06
Baja California,17.53,2018,3,,Baja California,19.16,2018,3,,Baja California,18.6,2018,3,,22/02/2017,15.92,17.75,17.06
